Material;Dt.Saída;Nº Pedido;Requisitante / Destino;Unidade;Quantidade;Status
Álcool;19/03/2020;308748;Acre;Litro;9,6;Entregue
Álcool;19/03/2020;308748;Acre;Litro;42;Entregue
Álcool;19/03/2020;308499;Acre;Litro;12;Entregue
Álcool;19/03/2020;308500;Acre;Litro;12;Entregue
Álcool;25/03/2020;309483;Acre;Litro;48;Entregue
Álcool;28/03/2020;309979;Acre;Litro;19,2;Entregue
Álcool;28/03/2020;309979;Acre;Litro;18;Entregue
Álcool;31/03/2020;310553;Acre;Litro;132;Entregue
Álcool;10/04/2020;311433;Acre;Litro;12,6;Entregue
Álcool;15/04/2020;311873;Acre;Litro;5;Entregue
Álcool;15/04/2020;311873;Acre;Litro;4;Entregue
Álcool;15/04/2020;311873;Acre;Litro;153,5;Entregue
Álcool;23/04/2020;312962;Acre;Litro;798;Entregue
Álcool;30/04/2020;313999;Acre;Litro;1068;Entregue
Álcool;14/05/2020;315513;Acre;Litro;96;Entregue
Álcool;19/03/2020;308752;Alagoas;Litro;28,8;Entregue
Álcool;19/03/2020;308752;Alagoas;Litro;156;Entregue
Álcool;19/03/2020;308531;Alagoas;Litro;12;Entregue
Álcool;25/03/2020;309488;Alagoas;Litro;28,8;Entregue
Álcool;25/03/2020;309488;Alagoas;Litro;156;Entregue
Álcool;28/03/2020;309983;Alagoas;Litro;86,4;Entregue
Álcool;28/03/2020;309983;Alagoas;Litro;60;Entregue
Álcool;31/03/2020;310595;Alagoas;Litro;270;Entregue
Álcool;10/04/2020;311343;Alagoas;Litro;42;Entregue
Álcool;15/04/2020;311874;Alagoas;Litro;15;Entregue
Álcool;15/04/2020;311874;Alagoas;Litro;12;Entregue
Álcool;15/04/2020;311874;Alagoas;Litro;481;Entregue
Álcool;23/04/2020;312973;Alagoas;Litro;2508;Entregue
Álcool;30/04/2020;314000;Alagoas;Litro;3354;Entregue
Álcool;14/05/2020;315516;Alagoas;Litro;258;Entregue
Álcool;19/03/2020;308762;Amapá;Litro;9,6;Entregue
Álcool;19/03/2020;308762;Amapá;Litro;42;Entregue
Álcool;19/03/2020;308727;Amapá;Litro;12;Entregue
Álcool;24/03/2020;309467;Amapá;Litro;48;Entregue
Álcool;28/03/2020;309985;Amapá;Litro;19,2;Entregue
Álcool;28/03/2020;309985;Amapá;Litro;12;Entregue
Álcool;31/03/2020;310593;Amapá;Litro;66;Entregue
Álcool;10/04/2020;311344;Amapá;Litro;8,4;Entregue
Álcool;15/04/2020;311875;Amapá;Litro;5;Entregue
Álcool;15/04/2020;311875;Amapá;Litro;4;Entregue
Álcool;15/04/2020;311875;Amapá;Litro;139,5;Entregue
Álcool;23/04/2020;312974;Amapá;Litro;726;Entregue
Álcool;30/04/2020;314001;Amapá;Litro;972;Entregue
